64 J001 computer 10 6 S ABBEAE 7 0.000
1 GGDEBF P1B1
2 FACGAG P1B1
3 JDEDIF P0B1
4 BAEJJH P0B3
5 CJADGA P0B2
6 ABBEAB P5B0
7 ABBEAE P6B0
8 J001 computer 10 6 S FJIJIH 7 0.001
1 AHBDBD P0B1
2 CGEGCD P0B0
3 DJICED P2B0
4 GBAECI P0B1
5 HHHIJH P1B2
6 FJIFFH P4B0
7 FJIJIH P6B0
1 J001 computer 10 6 S EIGAGG 8 0.001
1 BJCCDI P0B1
2 GFDJID P0B2
3 EJAIGC P2B2
4 JFCJDD P0B0
5 HHDEAJ P0B2
6 AAAIEG P1B3
7 EAIGGE P2B3
8 EIGAGG P6B0
20 J001 computer 10 6 S CBJDDB 7 0.002
1 GIAAFA P0B0
2 EEAJCI P0B2
3 EIGDDG P2B0
4 FDJIAE P1B1
5 FCFHHJ P0B2
6 BBJDDC P4B2
7 CBJDDB P6B0
52 J001 computer 10 6 S CCICEC 7 0.002
1 GGDDIH P0B1
2 FBCDJF P0B1
3 JGJADE P0B1
4 HCBFEH P2B0
5 JJJADG P0B0
6 BEBBEI P1B1
7 CCICEC P6B0
49 J001 computer 10 6 S AAJEJA 8 0.002
1 JEIHGD P0B2
2 EIAHEG P0B2
3 HACFEE P1B1
4 EEABDF P0B2
5 IFIJJH P1B1
6 AABCJI P3B0
7 AAEAJJ P3B3
8 AAJEJA P6B0
57 J001 computer 10 6 S EBFFFE 9 0.002
1 HFJHFH P1B1
2 EFJHHD P1B1
3 DCHCGH P0B0
4 JHIGJI P0B0
5 CDJHIG P0B0
6 AFAAEF P0B3
7 EBBFFB P4B0
8 EBEFFE P5B0
9 EBFFFE P6B0
33 J001 computer 10 6 S CBHBCF 8 0.003
1 CJCAEB P1B2
2 BEGECG P1B1
3 BAGDGB P0B2
4 JJDEGE P0B0
5 GAFDBH P0B3
6 ABAACF P3B0
7 CBBHCF P4B2
8 CBHBCF P6B0
53 J001 computer 10 6 S AFAFCC 8 0.003
1 IJEGEF P0B1
2 AAGEHJ P1B1
3 DIJIBF P0B1
4 CCBIDE P0B2
5 IDJBAE P0B1
6 AFAACC P5B0
7 AFACCC P5B0
8 AFAFCC P6B0
9 J001 computer 10 6 S AEFEAG 7 0.004
1 IDJDIH P0B0
2 ACEAAD P2B1
3 IFACBG P1B2
4 EDFAAJ P2B2
5 BCEIIG P1B1
6 AEFAEG P4B2
7 AEFEAG P6B0
11 J001 computer 10 6 S AHABGB 8 0.004
1 DFFHEF P0B1
2 CGBFFJ P0B2
3 EDEHBE P0B2
4 JIIGII P0B1
5 BIHBCG P1B3
6 AAGBHB P3B3
7 ABGBAH P2B4
8 AHABGB P6B0
73 J001 computer 10 6 S BHCJFE 7 0.005
1 GBEIFH P1B3
2 BJHJID P2B1
3 DBAAGB P0B1
4 CBFFHA P0B4
5 AIJDAG P0B1
6 BCHCFI P2B2
7 BHCJFE P6B0
92 J001 computer 10 6 S EHGCGE 7 0.005
1 BACHCH P0B2
2 JBECAC P1B1
3 DJBJJB P0B0
4 GHFDBE P2B1
5 EFDCAA P2B0
6 EHGCEE P5B0
7 EHGCGE P6B0
59 J001 computer 10 6 S DGAFCA 8 0.005
1 EDGGDH P0B2
2 ABCFEB P1B2
3 JDDIGD P0B2
4 IEFHIF P0B1
5 DCDFHF P2B1
6 ACBDHJ P0B3
7 DAAFCG P4B2
8 DGAFCA P6B0
