187 J001 computer 6 4 S CEEE 3 0.000
1 BAAF P0B0
2 AEEF P2B0
3 CEEE P4B0
519 J001 computer 6 4 S AFBB 3 0.000
1 BDEF P0B2
2 EBCB P1B1
3 AFBB P4B0
557 J001 computer 6 4 S DEAC 3 0.000
1 DBEE P1B1
2 FFCD P0B2
3 DEAC P4B0
712 J001 computer 6 4 S BDAD 3 0.000
1 FBFE P0B1
2 FDFB P1B1
3 BDAD P4B0
187 J001 computer 6 4 S CEEE 3 0.000
1 BAAF P0B0
2 AEEF P2B0
3 CEEE P4B0
519 J001 computer 6 4 S AFBB 3 0.000
1 BDEF P0B2
2 EBCB P1B1
3 AFBB P4B0
557 J001 computer 6 4 S DEAC 3 0.000
1 DBEE P1B1
2 FFCD P0B2
3 DEAC P4B0
712 J001 computer 6 4 S BDAD 3 0.000
1 FBFE P0B1
2 FDFB P1B1
3 BDAD P4B0
187 J001 computer 6 4 S CEEE 3 0.000
1 BAAF P0B0
2 AEEF P2B0
3 CEEE P4B0
519 J001 computer 6 4 S AFBB 3 0.000
1 BDEF P0B2
2 EBCB P1B1
3 AFBB P4B0
557 J001 computer 6 4 S DEAC 3 0.000
1 DBEE P1B1
2 FFCD P0B2
3 DEAC P4B0
712 J001 computer 6 4 S BDAD 3 0.000
1 FBFE P0B1
2 FDFB P1B1
3 BDAD P4B0
187 J001 computer 6 4 S CEEE 3 0.000
1 BAAF P0B0
2 AEEF P2B0
3 CEEE P4B0
519 J001 computer 6 4 S AFBB 3 0.000
1 BDEF P0B2
2 EBCB P1B1
3 AFBB P4B0
557 J001 computer 6 4 S DEAC 3 0.000
1 DBEE P1B1
2 FFCD P0B2
3 DEAC P4B0
712 J001 computer 6 4 S BDAD 3 0.000
1 FBFE P0B1
2 FDFB P1B1
3 BDAD P4B0
187 J001 computer 6 4 S CEEE 3 0.000
1 BAAF P0B0
2 AEEF P2B0
3 CEEE P4B0
519 J001 computer 6 4 S AFBB 3 0.000
1 BDEF P0B2
2 EBCB P1B1
3 AFBB P4B0
557 J001 computer 6 4 S DEAC 3 0.000
1 DBEE P1B1
2 FFCD P0B2
3 DEAC P4B0
712 J001 computer 6 4 S BDAD 3 0.000
1 FBFE P0B1
2 FDFB P1B1
3 BDAD P4B0
187 J001 computer 6 4 S CEEE 3 0.000
1 BAAF P0B0
2 AEEF P2B0
3 CEEE P4B0
519 J001 computer 6 4 S AFBB 3 0.000
1 BDEF P0B2
2 EBCB P1B1
3 AFBB P4B0
557 J001 computer 6 4 S DEAC 3 0.000
1 DBEE P1B1
2 FFCD P0B2
3 DEAC P4B0
712 J001 computer 6 4 S BDAD 3 0.000
1 FBFE P0B1
2 FDFB P1B1
3 BDAD P4B0
187 J001 computer 6 4 S CEEE 3 0.000
1 BAAF P0B0
2 AEEF P2B0
3 CEEE P4B0
519 J001 computer 6 4 S AFBB 3 0.000
1 BDEF P0B2
2 EBCB P1B1
3 AFBB P4B0
557 J001 computer 6 4 S DEAC 3 0.000
1 DBEE P1B1
2 FFCD P0B2
3 DEAC P4B0
712 J001 computer 6 4 S BDAD 3 0.000
1 FBFE P0B1
2 FDFB P1B1
3 BDAD P4B0
187 J001 computer 6 4 S CEEE 3 0.000
1 BAAF P0B0
2 AEEF P2B0
3 CEEE P4B0
519 J001 computer 6 4 S AFBB 3 0.000
1 BDEF P0B2
2 EBCB P1B1
3 AFBB P4B0
557 J001 computer 6 4 S DEAC 3 0.000
1 DBEE P1B1
2 FFCD P0B2
3 DEAC P4B0
712 J001 computer 6 4 S BDAD 3 0.000
1 FBFE P0B1
2 FDFB P1B1
3 BDAD P4B0
828 J001 computer 6 4 S DBFF 5 0.000
1 EFBA P0B2
2 DADA P1B0
3 EABC P0B1
4 BACE P0B1
5 DBFF P4B0
828 J001 computer 6 4 S DBFF 5 0.000
1 EFBA P0B2
2 DADA P1B0
3 EABC P0B1
4 BACE P0B1
5 DBFF P4B0
828 J001 computer 6 4 S DBFF 5 0.000
1 EFBA P0B2
2 DADA P1B0
3 EABC P0B1
4 BACE P0B1
5 DBFF P4B0
828 J001 computer 6 4 S DBFF 5 0.000
1 EFBA P0B2
2 DADA P1B0
3 EABC P0B1
4 BACE P0B1
5 DBFF P4B0
